job_title,company,location,salary_min,salary_max,salary_currency,match_score,matching_skills,posting_date,application_url
Python Developer,mThree,"New York City, New York",104099.3,104099.3,USD,100.0,1,2026-07-11T04:33:36Z,https://www.adzuna.com/land/ad/5796684005?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=8DA1C068E479DFD03EEF02B4CE3EF744193780ED
Python Developer,Software Guidance & Assistance,"Rutherford, Bergen County",121363.43,121363.43,USD,100.0,1,2026-06-24T20:22:06Z,https://www.adzuna.com/land/ad/5775501610?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=ED9C39B5634A8D6CE37A4C60183A7A5F248616CB
Python Developer,Enfycon Inc,"Five Corners, Hudson County",124536.03,124536.03,USD,100.0,1,2026-07-22T19:13:13Z,https://www.adzuna.com/land/ad/5811474442?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=26F00E44E90BAFE89E88E6AC22DCFFC8E035E138
Python developer,ISite Technologies Inc,"Grand Central, Manhattan",97099.81,97099.81,USD,100.0,1,2026-07-22T19:10:27Z,https://www.adzuna.com/land/ad/5811473718?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=E3D69F39ED6A501868EC2F356AEA8B693DD171A2
Python developer,Infinity Tech Group Inc,"Grand Central, Manhattan",95805.25,95805.25,USD,100.0,1,2026-07-13T17:32:46Z,https://www.adzuna.com/land/ad/5799130130?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=B5C90D24FEA3E72F1798A772C54387D82490F233
Python Developer,ACI Infotech,"Grand Central, Manhattan",120372.01,120372.01,USD,100.0,1,2026-04-15T13:47:05Z,https://www.adzuna.com/land/ad/5700345161?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=C10FC612421913DE999761D442487318275E040B
Python Developer,Shree Narayani Networking Solutions LLC,"Five Corners, Hudson County",119786.6,119786.6,USD,100.0,1,2026-07-15T13:46:16Z,https://www.adzuna.com/land/ad/5801459114?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=498955D1465AC9BEA397E200C14D6B512A2150F1
Python Migration Engineer (Perl to Python Modernization),Application Management Services LLC,"Five Corners, Hudson County",171210.6,171210.6,USD,100.0,1,2026-06-25T18:38:10Z,https://www.adzuna.com/land/ad/5776907992?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=35C7E91D16839A4BF09367A2C4FA86FD9088124A
Python Software Engineers,The Hagen Ricci Group,"Grand Central, Manhattan",184847.23,184847.23,USD,100.0,1,2026-07-21T10:25:40Z,https://www.adzuna.com/land/ad/5809395230?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=1F4A0346C59499BBD20EE070E809BE25A6155A78
Director of Software Engineering- Python,J.P. Morgan,"Jersey City, Hudson County",120518.23,120518.23,USD,0.0,0,2026-07-06T11:33:03Z,https://www.adzuna.com/land/ad/5789985285?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=02B6DD6DE6C29FFF8B54E0D5C5725F35DEE14F38
Lead Software Engineering - Python,J.P. Morgan,"Jersey City, Hudson County",126577.92,126577.92,USD,0.0,0,2026-07-17T04:43:14Z,https://www.adzuna.com/land/ad/5804609162?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=3DE39B5B2341D7982FBBE9F9ECAE73C88D0B4E13
Sr Python Developer,Randstad Digital,"Five Corners, Hudson County",93054.43,93054.43,USD,100.0,1,2026-07-16T19:50:21Z,https://www.adzuna.com/land/ad/5803994615?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=702974417412E36EE5AE53EEADC5843149CE66A7
Python/AI Engineer,Software Guidance & Assistance,"Rutherford, Bergen County",144760.7,144760.7,USD,100.0,1,2026-07-20T21:06:49Z,https://www.adzuna.com/land/ad/5808689652?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=657FB9BD8F3CDEA49CD2C8571741BE2F45BEB466
Python Quantitative Developer,"Alltech Consulting Services, Inc.","Grand Central, Manhattan",132160.69,132160.69,USD,100.0,1,2026-07-21T21:12:06Z,https://www.adzuna.com/land/ad/5810167089?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=0DCB0E126AFD05BA2D8D735305C59E8FF325168D
Backend Consultants (Python),SM Global IT LLC,"Grand Central, Manhattan",98795.92,98795.92,USD,100.0,1,2026-07-22T14:49:01Z,https://www.adzuna.com/land/ad/5811120429?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=4D11046B2FED18AD55E9AE171E2998362FD27E44
Python API Architect,Digital Dhara LLC,"Five Corners, Hudson County",76854.27,76854.27,USD,100.0,1,2026-07-22T10:50:15Z,https://www.adzuna.com/land/ad/5810923358?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=AA220F8FC7432AA8A5AF2F4F6BAE8EFE3D322139
Senior Backend Engineer (Python),Mathpix,"Grand Central, Manhattan",150557.03,150557.03,USD,0.0,0,2026-07-21T10:27:34Z,https://www.adzuna.com/land/ad/5809406423?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=0C0E0D207B9183530C97685C832B184BCE4AC5CA
Sr Lead Software Engineer- Python,J.P. Morgan,"Jersey City, Hudson County",131607.53,131607.53,USD,0.0,0,2026-07-06T11:32:46Z,https://www.adzuna.com/land/ad/5789984372?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=29E84F86731E1F57BB417F370C7C7DCB007DD073
Lead Software Engineer- Python/Analytics,J.P. Morgan,"Jersey City, Hudson County",121684.92,121684.92,USD,0.0,0,2026-07-06T11:33:17Z,https://www.adzuna.com/land/ad/5789986001?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=118ECAD5B30D62857F97519ECFB82937B6DF3FFF
Lead Software Engineer Analytics - Python,J.P. Morgan,"Jersey City, Hudson County",119441.99,119441.99,USD,0.0,0,2026-07-06T11:32:37Z,https://www.adzuna.com/land/ad/5789983918?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=8D59C9729456DFC627808A0BA485FCF12A1F5CFC
Lead Software Engineer - Java & Python,J.P. Morgan,"Jersey City, Hudson County",118932.09,118932.09,USD,0.0,0,2026-07-13T16:20:28Z,https://www.adzuna.com/land/ad/5799039627?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=D1F46B3CACBFD88F7E1049743653BC37DAD6D114
Lead Software Engineer - Python/ Data,J.P. Morgan,"Jersey City, Hudson County",144035.53,144035.53,USD,0.0,0,2026-07-06T11:33:03Z,https://www.adzuna.com/land/ad/5789985280?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=60FACC4910BF1471F086E0829D45F5B2793B3150
Software Engineer III - Python Automation,J.P. Morgan,"Jersey City, Hudson County",118821.89,118821.89,USD,0.0,0,2026-07-06T11:33:09Z,https://www.adzuna.com/land/ad/5789985540?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=A7912B3D59760E16D9938A307711EA9B8D796F79
Python Developer,Insight Global,"Grand Central, Manhattan",147878.34,147878.34,USD,100.0,1,2026-07-11T22:42:21Z,https://www.adzuna.com/land/ad/5797554849?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=20BF3379B3DA2C7433B1136224379243EF5902D6
Python Developer,ManpowerGroup,"Tyler Park, Hudson County",215188.61,215188.61,USD,100.0,1,2026-05-06T22:56:01Z,https://www.adzuna.com/land/ad/5721148395?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=3EFBDAA7509EAC6AC2C679B6DED8C78FFF8368D2
Python Rapid Application Developer,"Brains Workgroup, Inc.","Grand Central, Manhattan",129420.31,129420.31,USD,100.0,1,2026-07-22T10:51:51Z,https://www.adzuna.com/land/ad/5810925402?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=F826DCFCBA7DB993FB90D8F92150E474D8FC8537
Python Developer (with Agentic AI),Xoriant Corporation,"Grand Central, Manhattan",168490.97,168490.97,USD,100.0,1,2026-07-13T19:31:46Z,https://www.adzuna.com/land/ad/5799241452?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=1D1BC7A42372943A37A74E062E03F61EA858FDDE
Sr Python Backend Developer,ACI Infotech,"Grand Central, Manhattan",146411.92,146411.92,USD,100.0,1,2026-06-25T16:21:01Z,https://www.adzuna.com/land/ad/5776610954?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=C9A009E8F25335885DB3EDA955888858DE14ABE6
Python Fullstack AI Engineer,SUNRAY INFORMATICS,"Five Corners, Hudson County",84228.02,84228.02,USD,100.0,1,2026-06-08T16:30:15Z,https://www.adzuna.com/land/ad/5756540975?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=7DAEB09F9C320DF68154E8D15A3D18A0A524CC88
Data Engineer (SQL & Python),"Innova Solutions, Inc","Five Corners, Hudson County",73103.3,73103.3,USD,100.0,1,2026-07-06T19:09:36Z,https://www.adzuna.com/land/ad/5790373731?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=5E6D09F13F809508FB4E587B4DF6CC652FCCD3C5
